玩家pid,玩家等级,累计充值rmb,评分,情感分类,Source,评论内容
1437168318,26,0.0,10,满意,大R反馈,国服大概什么时候会有累充奖励
1697379989,31,887.8,10,中立,大R反馈,提个建议
1868146740,30,1810.1,10,满意,小R反馈,还想要多点体力
1276233757,43,2255.4,10,满意,大R反馈,就一个意见，不要实时pvp
1757023779,23,0.0,10,中立,玩家评论,小黑，我想了解下，贝拉池子啥时候复刻
1032769525,53,6454.8,10,满意,玩家评论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1861204263,29,1663.6,10,不满意,小R反馈,国服大概什么时候会有累充奖励
1958588210,39,1380.7,10,满意,小R反馈,这概率是否有点过分了2:9
1892028659,46,0.0,10,不满意,玩家评论,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1726460187,30,395.2,10,满意,小R反馈,65神兵扫荡连着七八天三金什么意思
1982938335,41,0.0,10,中立,大R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1326635354,41,3729.4,10,不满意,玩家评论,实在不理解，12单，近8000块，就抽到4个要的
1234068401,47,2092.8,10,满意,玩家评论,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1730449196,41,2162.9,10,中立,小R反馈,今天阿列克谢
1264479163,27,478.7,10,不满意,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1789156649,28,1520.0,10,中立,玩家评论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1209901078,37,998.7,10,中立,玩家评论,提个建议
1289859587,11,0.0,10,满意,玩家评论,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1061343421,43,1849.5,10,满意,玩家评论,提个建议
1032327179,30,1849.3,10,中立,大R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1558278567,28,0.0,10,满意,玩家评论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1212810070,9,0.0,10,中立,小R反馈,65神兵扫荡连着七八天三金什么意思
1682461690,49,1841.9,10,中立,玩家评论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1720693292,56,6328.9,10,不满意,玩家评论,就一个意见，不要实时pvp
1133906317,50,3435.1,10,中立,大R反馈,国服大概什么时候会有累充奖励
1417278053,34,1922.1,10,满意,玩家评论,实在不理解，12单，近8000块，就抽到4个要的
1010693766,32,2990.4,10,不满意,论坛讨论,今后还会出sr角色吗，现在的sr角色好少哦
1717953385,43,0.0,10,中立,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1522363148,28,0.0,10,满意,大R反馈,今天阿列克谢
1844327373,9,0.0,10,满意,论坛讨论,这概率是否有点过分了2:9
1251307285,54,3656.1,10,不满意,玩家评论,提个建议
1673239403,29,2302.2,10,不满意,玩家评论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1163223244,53,12963.9,10,满意,大R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1247759644,42,9173.0,10,中立,玩家评论,能不能增加一个每周经验礼包
1681634315,35,1753.8,10,满意,大R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1436678711,31,0.0,10,满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1375590215,26,2357.6,10,不满意,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1611346159,37,2580.2,10,中立,玩家评论,能不能增加一个每周经验礼包
1716794921,13,0.0,10,不满意,大R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1825560685,34,2224.0,10,满意,大R反馈,话说，那些低级材料以后会有优化么
1223545549,31,3310.7,10,不满意,大R反馈,这期抽卡也太坑人了
1106520744,53,30506.8,10,不满意,大R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1025144619,45,2533.7,10,满意,小R反馈,提个建议
1431246166,48,12141.6,10,满意,小R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1251018298,51,12127.3,10,不满意,玩家评论,国服大概什么时候会有累充奖励
1112169394,24,0.0,10,中立,大R反馈,就一个意见，不要实时pvp
1715604981,27,0.0,10,中立,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1526332598,31,2760.4,10,中立,小R反馈,这期抽卡也太坑人了
1845447740,32,255.0,10,中立,论坛讨论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1506717242,43,1445.9,10,满意,大R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1861972350,29,0.0,10,中立,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1773308675,48,1239.9,10,中立,玩家评论,春节会有新的198自选吗
1132978669,44,1239.2,10,不满意,小R反馈,国服大概什么时候会有累充奖励
1561194418,20,1597.7,10,不满意,大R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1539262125,26,0.0,10,中立,大R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1501797276,22,0.0,10,中立,论坛讨论,就一个意见，不要实时pvp
1512973121,32,2317.2,10,不满意,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1213169039,8,0.0,10,满意,小R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1035875325,48,19453.1,10,满意,小R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1158143662,44,9262.9,10,满意,论坛讨论,小黑，我想了解下，贝拉池子啥时候复刻
1431989156,32,2572.3,10,满意,玩家评论,65神兵扫荡连着七八天三金什么意思
1364358493,55,0.0,10,中立,论坛讨论,话说，那些低级材料以后会有优化么
1466014631,52,4956.9,10,中立,论坛讨论,能不能增加一个每周经验礼包
1960926601,40,3190.3,10,中立,论坛讨论,这游戏啥时候来个大版本更新啊，现在内容好少
1056327214,8,0.0,10,中立,小R反馈,就一个意见，不要实时pvp
1270705470,46,18275.2,10,不满意,论坛讨论,65神兵扫荡连着七八天三金什么意思
1778515778,40,2453.0,10,不满意,小R反馈,春节会有新的198自选吗
1619369784,41,1399.8,10,中立,玩家评论,今天阿列克谢
1401596255,51,11532.6,10,中立,大R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1901129397,55,9299.3,10,满意,小R反馈,能不能增加一个每周经验礼包
1511893808,36,1500.7,10,不满意,大R反馈,不用了?弃游了?谢谢
1100513641,28,0.0,10,满意,小R反馈,实在不理解，12单，近8000块，就抽到4个要的
1161962680,26,2210.7,10,不满意,小R反馈,还想要多点体力
1123959061,44,12542.7,10,满意,论坛讨论,就一个意见，不要实时pvp
1565032850,59,14919.5,10,满意,论坛讨论,这游戏啥时候来个大版本更新啊，现在内容好少
1689630718,24,1171.3,10,满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1159066343,52,15567.2,10,中立,小R反馈,这概率是否有点过分了2:9
1195911123,33,1221.4,10,中立,玩家评论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1669838701,35,1413.4,10,满意,小R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1565679468,39,1355.1,10,中立,论坛讨论,国服大概什么时候会有累充奖励
1128145721,43,1239.2,10,满意,小R反馈,能不能增加一个每周经验礼包
1169139091,30,2747.5,10,中立,玩家评论,你们这破保底，早晚逼得我不想氪了
1318056396,31,651.0,10,中立,玩家评论,今后还会出sr角色吗，现在的sr角色好少哦
1343669350,43,1725.0,10,满意,小R反馈,话说，那些低级材料以后会有优化么
1081242031,41,7.0,10,不满意,论坛讨论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1285141957,49,0.0,10,满意,论坛讨论,国服大概什么时候会有累充奖励
1513473507,54,1357.0,10,中立,小R反馈,你们这破保底，早晚逼得我不想氪了
1673807182,30,0.0,10,不满意,玩家评论,话说，那些低级材料以后会有优化么
1570281513,27,2742.3,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1732789191,43,11679.4,10,中立,小R反馈,这期抽卡也太坑人了
1840590994,41,0.0,10,不满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1198069664,8,0.0,10,不满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1131557742,10,0.0,10,满意,小R反馈,话说，那些低级材料以后会有优化么
1447931360,47,11399.0,10,满意,玩家评论,这游戏啥时候来个大版本更新啊，现在内容好少
1033147100,48,8639.0,10,中立,小R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1410154801,22,3391.6,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1864399219,44,2402.6,10,不满意,大R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1766670958,38,29827.5,10,满意,大R反馈,这期抽卡也太坑人了
1706381459,31,178.2,10,不满意,大R反馈,就一个意见，不要实时pvp
1366199996,50,21856.8,10,不满意,小R反馈,这概率是否有点过分了2:9
1055445081,30,1975.2,10,不满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1019377843,10,0.0,10,中立,玩家评论,还想要多点体力
1705644052,23,526.4,10,中立,玩家评论,国服大概什么时候会有累充奖励
1165641391,31,3340.6,10,中立,小R反馈,65神兵扫荡连着七八天三金什么意思
1305538385,24,2044.3,10,不满意,大R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1602626258,28,3375.1,10,不满意,论坛讨论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1932953294,44,2977.7,10,不满意,论坛讨论,话说，那些低级材料以后会有优化么
1662840399,32,688.2,10,中立,小R反馈,就一个意见，不要实时pvp
1898237676,18,0.0,10,满意,玩家评论,国服大概什么时候会有累充奖励
1161619250,35,1832.4,10,中立,大R反馈,还想要多点体力
1650264738,37,2248.2,10,不满意,小R反馈,实在不理解，12单，近8000块，就抽到4个要的
1526306970,9,0.0,10,满意,论坛讨论,65神兵扫荡连着七八天三金什么意思
1314800372,49,1253.6,10,满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1835127246,32,1439.4,10,满意,小R反馈,今天阿列克谢
1044311848,28,0.0,10,不满意,大R反馈,这期抽卡也太坑人了
1014793367,34,2660.8,10,中立,玩家评论,话说，那些低级材料以后会有优化么
1841883064,46,0.0,10,中立,大R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1544349707,37,2172.9,10,中立,玩家评论,不用了?弃游了?谢谢
1828891993,28,450.8,10,不满意,玩家评论,小黑，我想了解下，贝拉池子啥时候复刻
1749791812,57,17566.8,10,满意,小R反馈,这期抽卡也太坑人了
1437752148,51,0.0,10,中立,玩家评论,还想要多点体力
1257960356,35,1347.5,10,满意,论坛讨论,小黑，我想了解下，贝拉池子啥时候复刻
1557197328,40,2699.7,10,满意,玩家评论,春节会有新的198自选吗
1663933005,66,14218.7,10,满意,小R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1771007947,44,978.0,10,不满意,玩家评论,就一个意见，不要实时pvp
1647027742,44,2584.0,10,中立,小R反馈,这概率是否有点过分了2:9
1782031004,37,2178.1,10,中立,小R反馈,国服大概什么时候会有累充奖励
1321561102,29,1440.4,10,不满意,玩家评论,这期抽卡也太坑人了
1354445986,34,1770.2,10,满意,论坛讨论,就一个意见，不要实时pvp
1754798139,61,4339.4,10,中立,大R反馈,能不能增加一个每周经验礼包
1656568870,40,3180.9,10,满意,论坛讨论,不用了?弃游了?谢谢
1269488938,33,1299.8,10,中立,大R反馈,今天阿列克谢
1144122798,51,2077.1,10,中立,小R反馈,不用了?弃游了?谢谢
1333485622,45,17986.6,10,满意,小R反馈,话说，那些低级材料以后会有优化么
1506093564,34,0.0,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1203611483,31,830.8,10,不满意,玩家评论,提个建议
1726559111,24,2307.6,10,不满意,玩家评论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1521561648,27,2128.1,10,满意,小R反馈,65神兵扫荡连着七八天三金什么意思
1891766211,25,2089.0,10,满意,玩家评论,65神兵扫荡连着七八天三金什么意思
1960510111,54,4526.2,10,中立,论坛讨论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1524043642,44,10578.0,10,满意,大R反馈,提个建议
1956845841,31,1919.8,10,不满意,大R反馈,话说，那些低级材料以后会有优化么
1028363264,28,2238.5,10,满意,玩家评论,实在不理解，12单，近8000块，就抽到4个要的
1324594107,39,2110.0,10,不满意,大R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1891935605,23,0.0,10,不满意,大R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1336260391,28,0.0,10,中立,大R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1476896909,12,0.0,10,中立,论坛讨论,提个建议
1078098536,51,0.0,10,满意,大R反馈,话说，那些低级材料以后会有优化么
1551334087,48,8908.6,10,满意,小R反馈,能不能增加一个每周经验礼包
1642032937,29,149.4,10,中立,小R反馈,不用了?弃游了?谢谢
1261315841,41,22478.2,10,不满意,玩家评论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1746891044,31,2596.8,10,中立,大R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1964989790,49,0.0,10,中立,小R反馈,春节会有新的198自选吗
1023327137,23,0.0,10,满意,大R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1103326309,22,1457.8,10,不满意,论坛讨论,国服大概什么时候会有累充奖励
1464771623,9,0.0,10,中立,玩家评论,能不能增加一个每周经验礼包
1040310422,25,0.0,10,不满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1011229052,28,1584.3,10,满意,玩家评论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1774152265,40,2775.3,10,中立,小R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1688932138,49,14408.8,10,满意,论坛讨论,实在不理解，12单，近8000块，就抽到4个要的
1127684274,36,569.6,10,中立,玩家评论,你们这破保底，早晚逼得我不想氪了
1799467881,51,22755.9,10,中立,玩家评论,你们这破保底，早晚逼得我不想氪了
1300468600,38,0.0,10,不满意,玩家评论,话说，那些低级材料以后会有优化么
1583066930,43,12636.7,10,满意,论坛讨论,提个建议
1772152108,25,0.0,10,满意,大R反馈,这概率是否有点过分了2:9
1548720007,42,24663.9,10,满意,论坛讨论,还想要多点体力
1005326074,43,2618.0,10,中立,小R反馈,这期抽卡也太坑人了
1136806553,34,824.5,10,中立,论坛讨论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1864705743,15,1093.1,10,满意,论坛讨论,能不能增加一个每周经验礼包
1467174050,50,5115.5,10,满意,玩家评论,国服大概什么时候会有累充奖励
1203534933,27,1379.8,10,满意,大R反馈,65神兵扫荡连着七八天三金什么意思
1662856770,31,1976.7,10,不满意,小R反馈,实在不理解，12单，近8000块，就抽到4个要的
1332842272,47,5607.8,10,满意,玩家评论,小黑，我想了解下，贝拉池子啥时候复刻
1256998905,51,12842.0,10,不满意,大R反馈,话说，那些低级材料以后会有优化么
1239010683,28,0.0,10,不满意,论坛讨论,实在不理解，12单，近8000块，就抽到4个要的
1190817414,27,397.6,10,满意,小R反馈,国服大概什么时候会有累充奖励
1915768813,50,0.0,10,中立,大R反馈,提个建议
1183349834,47,4239.3,10,中立,小R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1524991888,18,0.0,10,不满意,小R反馈,提个建议
1670137073,38,903.7,10,中立,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1332971624,20,0.0,10,满意,大R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1097549567,25,0.0,10,不满意,论坛讨论,65神兵扫荡连着七八天三金什么意思
1133679313,59,6152.5,10,中立,玩家评论,国服大概什么时候会有累充奖励
1262434682,34,2421.0,10,中立,小R反馈,春节会有新的198自选吗
1164702793,30,1749.2,10,不满意,大R反馈,你们这破保底，早晚逼得我不想氪了
1178495006,43,3400.9,10,不满意,玩家评论,实在不理解，12单，近8000块，就抽到4个要的
1033240624,52,21847.0,10,满意,玩家评论,这游戏啥时候来个大版本更新啊，现在内容好少
1100113402,8,0.0,10,不满意,大R反馈,还想要多点体力
1559857095,23,0.0,10,满意,大R反馈,不用了?弃游了?谢谢
1066949510,47,12913.2,10,不满意,玩家评论,不用了?弃游了?谢谢
1480896570,24,1614.8,10,中立,小R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1339290307,36,1222.8,10,满意,论坛讨论,提个建议
1461186192,30,743.9,10,不满意,小R反馈,能不能增加一个每周经验礼包
1489328212,29,411.2,10,满意,小R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1680072254,12,0.0,10,中立,小R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1795531727,52,6308.5,10,满意,小R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1599956044,25,3503.9,10,不满意,玩家评论,提个建议
1438834129,30,960.7,10,中立,大R反馈,能不能增加一个每周经验礼包
1923948734,29,525.0,10,满意,小R反馈,就一个意见，不要实时pvp
1402407757,6,0.0,10,中立,玩家评论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1898319447,37,0.0,10,不满意,论坛讨论,不用了?弃游了?谢谢
1062590547,39,1944.2,10,满意,大R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1406765432,32,2360.2,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1550053646,26,0.0,10,不满意,大R反馈,你们这破保底，早晚逼得我不想氪了
1441776366,56,0.0,10,满意,大R反馈,国服大概什么时候会有累充奖励
1068732728,34,1002.7,10,中立,玩家评论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1705324535,40,6964.4,10,满意,论坛讨论,不用了?弃游了?谢谢
1371341308,51,10895.0,10,不满意,论坛讨论,话说，那些低级材料以后会有优化么
1975287203,38,926.7,10,满意,论坛讨论,这期抽卡也太坑人了
1269050376,41,1583.2,10,满意,小R反馈,国服大概什么时候会有累充奖励
1755603298,30,1757.3,10,中立,大R反馈,就一个意见，不要实时pvp
1047756198,38,2848.1,10,不满意,大R反馈,还想要多点体力
1032006589,54,15141.1,10,满意,论坛讨论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1925959978,36,851.9,10,满意,大R反馈,就一个意见，不要实时pvp
1833183048,50,23521.0,10,中立,大R反馈,就一个意见，不要实时pvp
1647530529,34,0.0,10,中立,玩家评论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1631707443,47,30278.8,10,满意,大R反馈,就一个意见，不要实时pvp
1983133753,48,830.5,10,中立,小R反馈,你们这破保底，早晚逼得我不想氪了
1226092313,50,15210.9,10,不满意,玩家评论,小黑，我想了解下，贝拉池子啥时候复刻
1571027986,31,785.3,10,满意,玩家评论,还想要多点体力
1413138788,34,1630.1,10,满意,玩家评论,这概率是否有点过分了2:9
1309698162,24,1653.3,10,满意,小R反馈,国服大概什么时候会有累充奖励
1619225949,9,0.0,10,满意,玩家评论,还想要多点体力
1937829788,29,0.0,10,中立,小R反馈,今后还会出sr角色吗，现在的sr角色好少哦
1235991355,43,2206.6,10,满意,玩家评论,你们这破保底，早晚逼得我不想氪了
1578293280,32,1500.3,10,不满意,小R反馈,这期抽卡也太坑人了
1498694957,32,1181.5,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1332364268,14,1984.1,10,满意,玩家评论,就一个意见，不要实时pvp
1320176789,35,920.0,10,不满意,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1780319766,33,0.0,10,满意,论坛讨论,这游戏啥时候来个大版本更新啊，现在内容好少
1663532439,22,0.0,10,不满意,玩家评论,今后还会出sr角色吗，现在的sr角色好少哦
1548777620,25,0.0,10,满意,玩家评论,今天阿列克谢
1617177373,49,17245.7,10,中立,论坛讨论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1038119649,35,1448.1,10,中立,玩家评论,提个建议
1243221735,24,405.9,10,满意,小R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1330255765,52,0.0,10,不满意,玩家评论,65神兵扫荡连着七八天三金什么意思
1887461095,51,3012.5,10,不满意,论坛讨论,能不能增加一个每周经验礼包
1736246167,35,1926.6,10,不满意,小R反馈,就一个意见，不要实时pvp
1416605694,8,0.0,10,满意,玩家评论,不用了?弃游了?谢谢
1689430981,29,2349.1,10,中立,小R反馈,今天阿列克谢
1987440449,40,1874.4,10,满意,小R反馈,话说，那些低级材料以后会有优化么
1737836715,36,1036.7,10,不满意,大R反馈,这期抽卡也太坑人了
1859922733,24,1988.5,10,满意,论坛讨论,这概率是否有点过分了2:9
1881001984,51,6173.6,10,不满意,小R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1698204001,24,0.0,10,满意,玩家评论,今天阿列克谢
1145663164,39,19360.2,10,满意,小R反馈,话说，那些低级材料以后会有优化么
1615620681,26,1078.3,10,不满意,大R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1103733167,51,23428.5,10,满意,大R反馈,你们这破保底，早晚逼得我不想氪了
1773726050,53,0.0,10,中立,论坛讨论,今后还会出sr角色吗，现在的sr角色好少哦
1104231201,29,88.3,10,满意,玩家评论,春节会有新的198自选吗
1223852415,36,518.7,10,不满意,论坛讨论,今后还会出sr角色吗，现在的sr角色好少哦
1022137978,27,2799.6,10,不满意,小R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1573177197,53,0.0,10,满意,大R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1248840926,43,12205.9,10,中立,小R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1174344399,43,900.1,10,中立,大R反馈,这期抽卡也太坑人了
1807147496,42,2234.7,10,满意,大R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1680207268,45,1854.9,10,满意,小R反馈,还想要多点体力
1901635790,26,0.0,10,中立,小R反馈,就一个意见，不要实时pvp
1464191475,38,0.0,10,不满意,论坛讨论,就一个意见，不要实时pvp
1150043528,25,2053.2,10,中立,论坛讨论,今天阿列克谢
1366320858,27,0.0,10,中立,论坛讨论,小黑，我想了解下，贝拉池子啥时候复刻
1527274304,26,1500.1,10,满意,小R反馈,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1636829933,45,580.9,10,满意,小R反馈,就一个意见，不要实时pvp
1036669081,45,2771.6,10,中立,论坛讨论,提个建议
1465568010,52,0.0,10,不满意,玩家评论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1754408958,54,30069.2,10,中立,论坛讨论,还想要多点体力
1245164777,27,2917.0,10,不满意,玩家评论,65神兵扫荡连着七八天三金什么意思
1429567253,41,2889.7,10,不满意,玩家评论,提个建议
1707661615,37,2391.0,10,满意,玩家评论,小黑，我想了解下，贝拉池子啥时候复刻
1476922249,34,1217.3,10,满意,论坛讨论,能不能增加一个每周经验礼包
1121355768,40,2046.2,10,不满意,大R反馈,还想要多点体力
1405742139,43,27682.8,10,不满意,论坛讨论,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1923991602,43,1463.0,10,中立,论坛讨论,国服大概什么时候会有累充奖励
1646044547,27,1951.2,10,满意,大R反馈,就一个意见，不要实时pvp
1722767578,11,0.0,10,满意,大R反馈,还想要多点体力
1520787621,39,2800.3,10,中立,论坛讨论,这期抽卡也太坑人了
1675841930,42,2448.0,10,中立,小R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1260873995,45,29487.8,10,不满意,论坛讨论,今后还会出sr角色吗，现在的sr角色好少哦
1371805552,38,2672.2,10,满意,小R反馈,小黑，我想了解下，贝拉池子啥时候复刻
1435182883,43,6046.2,10,不满意,论坛讨论,这期抽卡也太坑人了
1607063877,28,4106.9,10,中立,玩家评论,你们这破保底，早晚逼得我不想氪了
1026899299,27,1540.6,10,中立,大R反馈,您好，请问一下，一会儿更新的角色，以后会加露西亚阵营吗？
1100770514,53,0.0,10,不满意,大R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1498270323,39,178.5,10,满意,大R反馈,话说，那些低级材料以后会有优化么
1668544340,38,3339.1,10,满意,小R反馈,今天阿列克谢
1355371503,33,0.0,10,中立,玩家评论,不用了?弃游了?谢谢
1037758535,27,1105.7,10,不满意,论坛讨论,你们这破保底，早晚逼得我不想氪了
1612349778,18,1388.4,10,满意,玩家评论,春节会有新的198自选吗
1227439684,48,10437.2,10,中立,论坛讨论,春节会有新的198自选吗
1627315028,51,0.0,10,满意,大R反馈,还想要多点体力
1058843789,26,0.0,10,满意,大R反馈,国服大概什么时候会有累充奖励
1591561928,47,1769.5,10,中立,大R反馈,这概率是否有点过分了2:9
1865936533,33,0.0,10,不满意,小R反馈,这期抽卡也太坑人了
1673825731,56,18816.8,10,中立,小R反馈,还想要多点体力
1818585771,41,26438.0,10,中立,大R反馈,话说，那些低级材料以后会有优化么
1065342464,12,0.0,10,中立,大R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1773713721,28,0.0,10,不满意,论坛讨论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1659507800,24,1076.7,10,满意,论坛讨论,话说，那些低级材料以后会有优化么
1133911503,42,2672.6,10,满意,论坛讨论,就一个意见，不要实时pvp
1769158817,32,1978.5,10,中立,大R反馈,你们这破保底，早晚逼得我不想氪了
1279183788,19,0.0,10,不满意,玩家评论,还想要多点体力
1814918634,28,880.0,10,中立,论坛讨论,提个建议
